_______________________________________________________________________________
Measurement          |Basic-Input     |Predicted-Input |3D Avatar-Output (δ%)
_______________________________________________________________________________
weight_kg            |0.0             |90.0            |88.0    (2.3  %) 
stature_cm           |170.0           |170.0           |170.4   (0.2  %) 
neck_base_girth      |0.0             |45.6            |45.1    (1.1  %) 
chest_girth          |113.3           |113.3           |112.6   (0.6  %) 
waist_girth          |97.7            |97.7            |97.4    (0.4  %) 
hips_buttock_girth   |102.9           |102.9           |102.4   (0.5  %) 
shoulder_girth       |125.4           |125.4           |124.6   (0.6  %) 
thigh_girth          |63.2            |63.2            |62.1    (1.8  %) 
thigh_low_girth      |0.0             |41.6            |41.4    (0.5  %) 
calf_girth           |0.0             |39.8            |39.6    (0.5  %) 
ankle_girth          |0.0             |22.9            |22.7    (0.6  %) 
forearm_girth        |0.0             |32.8            |32.4    (1.2  %) 
wrist_girth          |0.0             |18.2            |18.1    (0.8  %) 
shoulder_length      |0.0             |15.3            |15.2    (0.4  %) 
sleeveoutseam_length |57.3            |57.3            |57.2    (0.1  %) 
forearm_length       |0.0             |26.1            |26.0    (0.5  %) 
crotchheight_length  |81.6            |81.6            |81.6    (0.0  %) 
waistback_length     |47.3            |47.3            |46.9    (0.9  %) 
thigh_length         |0.0             |39.3            |39.2    (0.1  %) 
chest_depth_length   |0.0             |27.1            |27.1    (0.1  %) 
head_girth           |0.0             |58.0            |57.8    (0.3  %) 
_______________________________________________________________________________
